Rollno,QuotaName,AIR,Category,SubCategory,OptionNo,InstituteCode,Institute,Subject,AllottedCategory,AllotedPH,AdmittedRound
2712330043,Open Seat Quota,21,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4410060494,Open Seat Quota,22,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3104150086,Open Seat Quota,23,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
2001450540,Open Seat Quota,24,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3111020418,Open Seat Quota,25,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4101140577,Open Seat Quota,26,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3803020221,Open Seat Quota,27,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4610020223,Open Seat Quota,28,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
2301150185,Open Seat Quota,29,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4615020151,Open Seat Quota,30,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4502010089,Open Seat Quota,31,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3814040184,Open Seat Quota,32,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
2208020515,Open Seat Quota,33,EW,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
1504020063,Open Seat Quota,34,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4301010696,Open Seat Quota,35,SC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
2302040503,Open Seat Quota,36,EW,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3903600031,Open Seat Quota,37,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4101170046,Open Seat Quota,38,General,NO,1,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
3115350173,Open Seat Quota,39,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3925020112,Open Seat Quota,40,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4101140043,Open Seat Quota,41,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4101070368,Open Seat Quota,42,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3906010801,Open Seat Quota,43,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
1203040193,Open Seat Quota,44,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3903250400,Open Seat Quota,45,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4609020112,Open Seat Quota,46,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3903190309,Open Seat Quota,47,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3905270041,Open Seat Quota,48,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
2802020280,Open Seat Quota,49,General,NO,2,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
1205010353,Open Seat Quota,50,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
4113030080,Open Seat Quota,51,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
3110070584,All India,52,General,NO,1,200226,"SETH G.S. MEDICAL COLLEGE, MUMBAI,ACHARYA DONDE MARG PAREL MUMBAI, Maharashtra, 400012",MBBS,Open,NO,1
2712160121,Open Seat Quota,53,General,NO,2,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
3803020857,All India,54,General,NO,2,200495,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,NO,1
4410120368,All India,55,General,NO,2,200495,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,NO,1
3923440101,Open Seat Quota,56,General,NO,2,200505,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,NO,1
2603130439,Open Seat Quota,57,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
3903270703,All India,58,General,NO,2,200449,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,NO,1
4410120262,All India,59,General,NO,2,200495,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,NO,1
3102140346,Open Seat Quota,60,General,NO,2,200509,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,Open,NO,1
4409030095,All India,61,General,NO,2,200449,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,NO,1
4456010104,All India,62,General,NO,2,200495,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,NO,1
2201060522,All India,63,General,NO,2,200137,"B.J. MEDICAL COLLEGE, AHMEDABAD,B J Medical College, New Civil Hospital Campus, Asarwa, Ahmedabad 380016, Gujarat, 380016",MBBS,Open,NO,1
2712150234,Open Seat Quota,64,General,NO,1,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
2301140268,Open Seat Quota,65,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
4108080365,Open Seat Quota,66,General,NO,1,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
1502450494,Open Seat Quota,67,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
2208040843,All India,68,General,NO,1,200138,"GOVERNMENT MEDICAL COLLEGE, SURAT,Out Side Majura Gate, New Civil Hospital Campus, Opp. Income Tax office, Surat - 395001, Gujarat, 395001",MBBS,Open,NO,1
2206020350,Open Seat Quota,69,SC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Schedule Caste(SC),NO,1
4407100503,Open Seat Quota,70,EW,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,General-EWS,NO,1
2707150055,Open Seat Quota,71,General,NO,2,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
4108010447,Open Seat Quota,72,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
2806021049,Open Seat Quota,73,General,NO,1,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
4108060092,Open Seat Quota,74,General,NO,2,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
2001630402,All India,75,General,NO,2,200449,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,NO,1
2207011647,Open Seat Quota,76,General,NO,2,200505,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,NO,1
3802040224,All India,77,General,NO,2,200449,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,NO,1
2219010422,All India,78,OBC,NO,1,200141,"M.P. SHAH MEDICAL COLLEGE, JAMNAGAR,PANDIT NEHRU MARG, JAMNAGAR 361008, Gujarat, 361008",MBBS,Open,NO,1
3110110328,Open Seat Quota,79,General,NO,1,200503,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,NO,2
2201060423,All India,80,General,NO,2,200137,"B.J. MEDICAL COLLEGE, AHMEDABAD,B J Medical College, New Civil Hospital Campus, Asarwa, Ahmedabad 380016, Gujarat, 380016",MBBS,Open,NO,1
1205040181,Open Seat Quota,81,EW,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,General-EWS,NO,1
2808260093,Open Seat Quota,82,General,NO,2,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
3903010023,Open Seat Quota,83,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
2708090324,Open Seat Quota,84,General,NO,2,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
1205030857,Open Seat Quota,85,General,NO,2,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
1531050005,Open Seat Quota,86,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
3904040576,Open Seat Quota,87,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
2209050027,All India,88,General,NO,2,200495,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,NO,1
3923490086,Open Seat Quota,89,EW,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,General-EWS,NO,1
2712350017,Open Seat Quota,90,General,NO,2,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
3115370103,Open Seat Quota,91,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
3905520026,Open Seat Quota,92,EW,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,General-EWS,NO,1
3602070284,Open Seat Quota,93,SC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Schedule Caste(SC),NO,1
3903610595,All India,94,General,NO,2,200449,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,NO,1
2315090030,Open Seat Quota,95,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
3003210316,Open Seat Quota,96,EW,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,General-EWS,NO,1
4608210185,Open Seat Quota,97,General,NO,2,200504,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open,NO,1
3923150470,Open Seat Quota,98,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
3903840432,Open Seat Quota,99,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
4101270012,All India,100,General,NO,1,200275,"MADRAS MEDICAL COLLEGE, CHENNAI,MADRAS MEDICAL COLLEGE EVR PERIYAR SALAI,PARK TOWN,CHENNAI,TAMIL NADU., Tamil Nadu, 600003",MBBS,Open,NO,1
3604060440,Open Seat Quota,101,General,NO,2,200504,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open,NO,1
3604050040,Open Seat Quota,102,General,NO,2,200504,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open,NO,1
2712080077,Open Seat Quota,103,General,NO,2,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
3111230076,Open Seat Quota,104,General,NO,2,200509,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,Open,NO,1
3916020174,Open Seat Quota,105,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
3814050273,All India,106,General,NO,2,200495,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,NO,1
3803020869,All India,107,General,NO,2,200449,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,NO,1
2001220029,Delhi University Quota,108,General,NO,2,200449,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,NO,1
3108020911,Open Seat Quota,109,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
3802050350,Open Seat Quota,110,General,NO,1,200511,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open,NO,2
3004010259,Open Seat Quota,111,General,NO,1,200503,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,NO,1
3923010348,Open Seat Quota,112,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
2707170294,Open Seat Quota,113,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
3903420504,All India,114,General,NO,2,200495,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,NO,1
3905130216,All India,115,General,NO,2,200449,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,NO,1
4108030021,Open Seat Quota,116,OBC,NO,1,200521,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,NO,1
3908030394,Open Seat Quota,117,General,NO,2,200505,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,NO,1
4601080316,Open Seat Quota,118,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
4401020065,All India,119,General,NO,2,200449,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,NO,1
3923420266,Open Seat Quota,120,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
3103110206,Open Seat Quota,121,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
3903520334,Open Seat Quota,122,EW,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,General-EWS,NO,1
3110340157,All India,123,General,NO,1,200226,"SETH G.S. MEDICAL COLLEGE, MUMBAI,ACHARYA DONDE MARG PAREL MUMBAI, Maharashtra, 400012",MBBS,Open,NO,1
3923310445,Open Seat Quota,124,General,NO,2,200505,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,NO,1
2001210003,Delhi University Quota,125,General,NO,2,200449,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,NO,1
2208020326,Open Seat Quota,126,General,NO,2,200505,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,NO,1
2807190031,Open Seat Quota,127,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
2807220092,Open Seat Quota,128,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
2201060089,Open Seat Quota,129,General,NO,2,200505,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,NO,1
2305040444,All India,130,General,NO,2,200495,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,NO,1
3111030433,Open Seat Quota,131,General,NO,2,200509,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,Open,NO,1
3901060345,Open Seat Quota,132,General,NO,2,200505,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,NO,1
3122040069,Open Seat Quota,133,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Other Backward Class (OBC-NCL),NO,1
